model-1579334766,1579334770.396,0.38,0.2504,0.44,0.5275,0
model-1579334766,1579334773.664,0.55,0.4202,0.44,0.2514,0
model-1579334766,1579334776.788,0.47,0.2506,0.56,0.2466,0
model-1579334766,1579334780.239,0.52,0.2536,0.56,0.247,0
model-1579334766,1579334782.917,0.52,0.2505,0.56,0.248,0
model-1579334766,1579334785.95,0.53,0.2492,0.56,0.2479,0
model-1579334766,1579334788.748,0.6,0.2459,0.56,0.2466,0
model-1579334766,1579334791.741,0.55,0.2476,0.56,0.2464,0
model-1579334766,1579334794.739,0.56,0.2459,0.56,0.2465,0
model-1579334766,1579334797.545,0.52,0.2532,0.56,0.2459,0
model-1579334766,1579334800.342,0.55,0.2473,0.56,0.246,0
model-1579334766,1579334803.029,0.48,0.2528,0.56,0.247,0
model-1579334766,1579334806.298,0.49,0.2506,0.56,0.2488,0
model-1579334766,1579334809.02,0.51,0.2499,0.47,0.2502,0
model-1579334766,1579334811.811,0.57,0.2495,0.44,0.252,0
model-1579334766,1579334814.904,0.45,0.2506,0.44,0.252,0
model-1579334766,1579334817.834,0.52,0.2491,0.44,0.2527,0
model-1579334766,1579334820.474,0.47,0.2511,0.44,0.2511,0
model-1579334766,1579334821.772,0.51,0.2501,0.47,0.25,0
model-1579334766,1579334824.545,0.55,0.2492,0.44,0.2502,1
model-1579334766,1579334827.207,0.55,0.2487,0.44,0.2513,1
model-1579334766,1579334829.861,0.47,0.2495,0.44,0.2519,1
model-1579334766,1579334832.662,0.48,0.2509,0.44,0.2509,1
model-1579334766,1579334835.491,0.48,0.2494,0.5,0.2496,1
model-1579334766,1579334838.585,0.47,0.2501,0.66,0.2488,1
model-1579334766,1579334841.249,0.63,0.249,0.59,0.2483,1
model-1579334766,1579334843.914,0.55,0.2491,0.59,0.2475,1
model-1579334766,1579334846.577,0.58,0.2485,0.59,0.2466,1
model-1579334766,1579334849.388,0.5,0.2495,0.62,0.2463,1
model-1579334766,1579334852.821,0.54,0.2486,0.59,0.2451,1
model-1579334766,1579334856.305,0.47,0.2493,0.69,0.2453,1
model-1579334766,1579334859.51,0.52,0.2483,0.5,0.2461,1
model-1579334766,1579334862.511,0.49,0.2521,0.53,0.2472,1
model-1579334766,1579334865.301,0.64,0.2448,0.47,0.252,1
model-1579334766,1579334868.663,0.45,0.2501,0.5,0.2492,1
model-1579334766,1579334871.739,0.54,0.2453,0.53,0.2453,1
model-1579334766,1579334874.824,0.54,0.2475,0.59,0.2402,1
model-1579334766,1579334876.004,0.46,0.2488,0.62,0.2388,1
model-1579334766,1579334879.146,0.45,0.2529,0.53,0.2427,2
model-1579334766,1579334882.353,0.64,0.244,0.5,0.253,2
model-1579334766,1579334885.534,0.48,0.2476,0.5,0.252,2
model-1579334766,1579334888.535,0.5,0.2527,0.56,0.2441,2
model-1579334766,1579334891.437,0.5,0.2462,0.62,0.2401,2
model-1579334766,1579334894.26,0.52,0.2478,0.56,0.2396,2
model-1579334766,1579334897.612,0.63,0.2385,0.59,0.2396,2
model-1579334766,1579334900.974,0.55,0.244,0.56,0.2398,2
model-1579334766,1579334904.15,0.56,0.2447,0.56,0.2393,2
model-1579334766,1579334907.214,0.52,0.2518,0.56,0.2387,2
model-1579334766,1579334910.57,0.55,0.2448,0.56,0.2377,2
model-1579334766,1579334914.308,0.48,0.2512,0.59,0.2365,2
